first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,Rank,Value,newcust_age
Olag,missing,Male,60,1990-05-13,Human Resources Manager,Telecommunications,Mass Customer,N,No,9,0484 North Avenue,2032,NSW,Australia,11,13,1.609375,27.633127994524298
Melba,missing,Female,38,1976-12-09,VP Marketing,Health,Mass Customer,N,No,4,0591 Anzinger Circle,2232,NSW,Australia,10,14,1.59375,41.05681040383299
Mandie,missing,Female,32,1964-04-19,Clinical Specialist,Health,Mass Customer,N,No,10,39 Kedzie Pass,4053,QLD,Australia,8,14,1.59375,53.6974674880219
Dukie,missing,Male,88,1954-03-31,no known,Manufacturing,Affluent Customer,N,Yes,5,64 Granby Parkway,2500,NSW,Australia,8,16,1.5625,63.75085557837098
Marcelia,missing,Female,61,1993-08-22,Associate Professor,Manufacturing,Mass Customer,N,Yes,4,610 Swallow Street,4051,QLD,Australia,6,17,1.546875,24.355920602327174
Winnifred,missing,Female,83,1976-06-08,Actuary,Financial Services,Mass Customer,N,No,14,61 4th Street,3040,VIC,Australia,10,17,1.546875,41.5605749486653
Odilia,missing,Female,65,1938-11-09,General Manager,Manufacturing,Affluent Customer,N,Yes,11,1550 Russell Way,2222,NSW,Australia,11,19,1.53125,79.14031485284052
Karly,missing,Female,2,1954-08-12,Internal Auditor,Manufacturing,High Net Worth,N,No,12,193 North Point,2190,NSW,Australia,10,19,1.53125,63.383983572895275
Teddie,missing,Male,11,1968-12-21,Programmer I,Manufacturing,Mass Customer,N,Yes,13,321 Raven Plaza,2161,NSW,Australia,9,21,1.515625,49.02395619438741
Gaston,missing,Male,44,1993-09-29,Financial Analyst,Financial Services,Mass Customer,N,Yes,8,656 Fuller Street,2783,NSW,Australia,7,21,1.515625,24.251882272416154
Otis,missing,Male,26,1998-02-05,Quality Engineer,not known,Mass Customer,N,No,3,1562 Merchant Street,4744,QLD,Australia,4,23,1.5,19.89869952087611
Tabbatha,missing,Female,5,1977-12-17,Quality Control Specialist,not known,Affluent Customer,N,Yes,13,663 8th Parkway,2257,NSW,Australia,8,23,1.5,40.035592060232716
Brena,missing,Female,78,1982-10-11,Account Executive,Manufacturing,Mass Customer,N,No,4,67 Shelley Street,4703,QLD,Australia,5,25,1.484375,35.219712525667354
Rourke,missing,Male,11,1945-08-03,no known,Property,Mass Customer,N,No,17,75 Cordelia Trail,4817,QLD,Australia,4,26,1.46875,72.40793976728268
Dyane,missing,Female,19,1952-06-27,Engineer II,Retail,Mass Customer,N,Yes,7,51 Hooker Court,2640,NSW,Australia,2,26,1.46875,65.50855578370978
Claudine,missing,Female,71,1966-07-20,Nurse,Property,High Net Worth,N,Yes,5,1859 Forest Circle,4000,QLD,Australia,11,26,1.46875,51.44695414099932
Blinnie,missing,Female,84,1960-12-10,Librarian,Entertainment,High Net Worth,N,No,11,44557 Rutledge Court,4171,QLD,Australia,7,26,1.46875,57.054072553045856
Rhona,missing,Female,45,1960-11-22,no known,Health,High Net Worth,N,No,8,11184 East Drive,3056,VIC,Australia,10,30,1.4609375,57.10335386721424
Sharron,missing,Female,62,1980-01-26,no known,Financial Services,High Net Worth,N,Yes,17,555 Hermina Avenue,2280,NSW,Australia,8,30,1.4609375,37.927446954141
Brien,missing,Male,70,1951-11-28,Clinical Specialist,Health,Mass Customer,N,Yes,12,8 Novick Trail,2470,NSW,Australia,2,32,1.453125,66.08898015058179
Sybilla,missing,Female,88,1987-01-15,Paralegal,Financial Services,Mass Customer,N,Yes,7,74 Welch Pass,2620,NSW,Australia,7,32,1.453125,30.95687885010267
Mikel,missing,Male,71,1981-09-22,Nurse,not known,Mass Customer,N,No,9,3 Pleasure Drive,4122,QLD,Australia,9,32,1.453125,36.271047227926076
Maisie,missing,Female,27,1977-05-09,Assistant Manager,Financial Services,Affluent Customer,N,No,20,8 Dennis Point,3226,VIC,Australia,9,32,1.453125,40.643394934976044
Arleen,missing,Female,48,1975-05-10,Senior Quality Engineer,Financial Services,Affluent Customer,N,Yes,13,41042 Lotheville Crossing,4817,QLD,Australia,1,36,1.44765625,42.64202600958248
Farlie,missing,Male,76,1968-03-25,Recruiting Manager,not known,High Net Worth,N,No,13,2330 Butternut Trail,2017,NSW,Australia,10,36,1.44765625,49.765913757700204
Mitchell,missing,Male,58,1979-04-11,no known,Manufacturing,Mass Customer,N,No,15,240 Acker Avenue,3190,VIC,Australia,8,38,1.4375,38.72142368240931
Garik,missing,Male,44,1955-06-13,no known,Property,Mass Customer,N,Yes,13,04 Dexter Way,3280,VIC,Australia,2,38,1.4375,62.548939082819984
Antonin,missing,Male,64,1993-08-28,no known,Manufacturing,Affluent Customer,N,Yes,8,011 Northland Trail,2160,NSW,Australia,9,40,1.434375,24.33949349760438
Vinny,missing,Female,73,1953-02-13,no known,Health,High Net Worth,N,No,10,8 Grayhawk Circle,2756,NSW,Australia,8,40,1.434375,64.87611225188228
Colene,missing,Female,24,1985-03-14,Design Engineer,Financial Services,Mass Customer,N,No,3,44 Darwin Lane,3149,VIC,Australia,10,42,1.421875,32.79671457905544
Neile,missing,Female,79,1946-10-25,no known,Retail,Mass Customer,N,No,8,2548 Arrowood Pass,2024,NSW,Australia,10,42,1.421875,71.1813826146475
Corinna,missing,Female,52,1966-09-18,Design Engineer,not known,Affluent Customer,N,No,9,938 Ilene Road,2761,NSW,Australia,8,44,1.42109375,51.28268309377139
Brooke,missing,Male,76,1961-12-05,no known,not known,High Net Worth,N,No,6,6 Melby Center,3027,VIC,Australia,5,44,1.42109375,56.068446269678304
Gipsy,missing,Female,29,1956-08-30,Business Systems Development Analyst,Retail,High Net Worth,N,Yes,5,08708 Moulton Park,2034,NSW,Australia,12,46,1.4078125,61.333333333333336
Sheena,missing,Female,14,1956-07-16,Paralegal,Financial Services,Affluent Customer,N,Yes,19,306 Clemons Junction,4852,QLD,Australia,1,46,1.4078125,61.45653661875428
Jobina,missing,Female,85,1994-12-04,VP Quality Control,not known,High Net Worth,N,Yes,14,18 Grim Road,4305,QLD,Australia,4,46,1.4078125,23.071868583162217
Gale,missing,Female,59,1977-05-14,Cost Accountant,Financial Services,Mass Customer,N,Yes,17,169 Bashford Drive,3741,VIC,Australia,7,46,1.4078125,40.629705681040384
Thaxter,missing,Male,12,1950-05-03,Product Engineer,Argiculture,Mass Customer,N,No,20,3 Vermont Lane,2067,NSW,Australia,12,50,1.40625,67.66050650239562
Heinrick,missing,Male,60,1978-02-11,no known,Manufacturing,Affluent Customer,N,No,10,998 Gale Park,3174,VIC,Australia,8,50,1.40625,39.88227241615332
Taylor,missing,Male,62,1999-03-22,Paralegal,Financial Services,Affluent Customer,N,Yes,5,64 Mcguire Trail,4017,QLD,Australia,8,52,1.39453125,18.77618069815195
Griswold,missing,Male,55,1993-12-19,Social Worker,Health,High Net Worth,N,Yes,11,74127 Blaine Point,3805,VIC,Australia,7,52,1.39453125,24.030116358658454
Odessa,missing,Female,97,1981-12-01,no known,Property,Mass Customer,N,No,8,31756 Meadow Valley Lane,2232,NSW,Australia,10,54,1.38125,36.07939767282683
Lavena,missing,Female,87,1995-03-25,Payment Adjustment Coordinator,Retail,Mass Customer,N,No,16,293 Mayfield Street,3166,VIC,Australia,10,54,1.38125,22.767967145790553
Martelle,missing,Female,52,1981-02-03,Marketing Assistant,Manufacturing,Mass Customer,N,No,9,261 Grayhawk Way,2226,NSW,Australia,10,54,1.38125,36.903490759753595
Briant,missing,Male,75,1979-12-17,Recruiter,Argiculture,Mass Customer,N,No,12,2 Schlimgen Terrace,2750,NSW,Australia,8,57,1.375,38.03696098562629
Marylou,missing,Female,51,1972-10-31,VP Product Management,not known,Mass Customer,N,No,14,76733 Sunbrook Terrace,3196,VIC,Australia,9,57,1.375,45.163586584531146
Whittaker,missing,Male,64,1966-07-29,Media Manager III,not known,Mass Customer,N,Yes,8,683 Florence Way,3156,VIC,Australia,5,57,1.375,51.422313483915126
Lorrie,missing,Male,47,1983-02-11,Cost Accountant,Financial Services,High Net Worth,N,Yes,17,06936 Bobwhite Circle,2257,NSW,Australia,7,57,1.375,34.8829568788501
Jedediah,missing,Male,31,1971-12-29,Developer I,Argiculture,Mass Customer,N,Yes,9,283 Acker Drive,2763,NSW,Australia,9,62,1.36796875,46.0041067761807
Kaine,missing,Male,59,1942-02-06,Senior Financial Analyst,Financial Services,High Net Worth,N,No,11,9 Mosinee Parkway,2072,NSW,Australia,10,62,1.36796875,75.89596167008898
Loise,missing,Female,70,1967-03-18,Electrical Engineer,Manufacturing,High Net Worth,N,Yes,17,45 Becker Place,4504,QLD,Australia,6,62,1.36796875,50.78713210130048
Cristen,missing,Female,22,1999-11-21,Accountant IV,IT,High Net Worth,N,Yes,7,27 Karstens Crossing,4214,QLD,Australia,7,65,1.3625,18.10814510609172
Dorothy,missing,Female,58,1983-02-01,Human Resources Manager,Retail,High Net Worth,N,No,12,9630 Cottonwood Avenue,2168,NSW,Australia,8,65,1.3625,34.91033538672142
Rosmunda,missing,Female,69,1996-07-20,Executive Secretary,Property,Affluent Customer,N,Yes,5,989 Graedel Terrace,4208,QLD,Australia,11,65,1.3625,21.44558521560575
Rozamond,missing,Female,54,1984-10-07,Account Representative I,Manufacturing,Affluent Customer,N,Yes,16,76 Bartelt Center,4078,QLD,Australia,7,68,1.3546875,33.229295003422315
Gunner,missing,Male,62,1999-06-08,Executive Secretary,Financial Services,High Net Worth,N,Yes,3,29778 Mendota Drive,4036,QLD,Australia,5,68,1.3546875,18.562628336755647
Vivienne,missing,Female,82,1988-09-18,Associate Professor,not known,High Net Worth,N,Yes,6,69 Algoma Center,4173,QLD,Australia,7,68,1.3546875,29.281314168377822
Sherilyn,missing,Female,11,1996-08-03,Dental Hygienist,Health,High Net Worth,N,Yes,13,8288 Lyons Way,2484,NSW,Australia,7,68,1.3546875,21.4072553045859
Bessie,missing,Female,78,1994-08-04,GIS Technical Architect,Financial Services,Mass Customer,N,No,9,4185 Florence Trail,2121,NSW,Australia,10,72,1.35,23.405886379192335
Kevina,missing,Female,73,1999-09-21,Assistant Professor,Financial Services,High Net Worth,N,No,15,9608 Heffernan Drive,4068,QLD,Australia,9,72,1.35,18.275154004106778
Yancy,missing,Male,5,1968-02-16,Mechanical Systems Engineer,not known,High Net Worth,N,No,15,9 Union Center,2147,NSW,Australia,9,72,1.35,49.869952087611225
Mabelle,missing,Female,76,1958-04-21,no known,Financial Services,Affluent Customer,N,Yes,19,800 Emmet Park,2219,NSW,Australia,9,72,1.35,59.6933607118412
Hasheem,missing,Male,98,1974-09-17,Budget/Accounting Analyst IV,Manufacturing,High Net Worth,N,Yes,10,12351 Spenser Pass,2034,NSW,Australia,12,72,1.35,43.285420944558524
Tobias,missing,Male,0,1961-04-15,Research Nurse,Health,Mass Customer,N,No,17,4 Valley Edge Plaza,2759,NSW,Australia,9,77,1.34140625,56.709103353867214
Glennis,missing,Female,36,1956-10-22,Speech Pathologist,Health,Affluent Customer,N,Yes,13,1601 Rutledge Lane,3030,VIC,Australia,7,78,1.3375,61.18822724161533
Chanda,missing,Female,15,1972-01-14,Computer Systems Analyst IV,Manufacturing,Mass Customer,N,Yes,13,0 Mockingbird Plaza,2212,NSW,Australia,10,78,1.3375,45.960301163586585
Katheryn,missing,Female,15,1973-11-28,Analyst Programmer,Entertainment,High Net Worth,N,No,6,1665 Kenwood Center,2518,NSW,Australia,6,78,1.3375,44.087611225188226
Sumner,missing,Male,53,1995-04-09,Desktop Support Technician,Manufacturing,Mass Customer,N,No,15,5 4th Center,2097,NSW,Australia,12,78,1.3375,22.72689938398357
Valerie,missing,Female,34,1965-09-08,Editor,Financial Services,Mass Customer,N,No,9,92214 Spenser Road,2756,NSW,Australia,8,78,1.3375,52.309377138945926
Esther,missing,Female,14,1981-02-22,no known,Financial Services,Mass Customer,N,No,5,5186 Main Trail,2046,NSW,Australia,9,78,1.3375,36.851471594798085
Gardie,missing,Male,58,1975-09-12,Biostatistician IV,Manufacturing,High Net Worth,N,No,8,564 Forest Dale Avenue,3161,VIC,Australia,12,84,1.328125,42.299794661190965
Sean,missing,Male,48,1961-03-22,Database Administrator III,Manufacturing,High Net Worth,N,Yes,16,83 Old Gate Point,2576,NSW,Australia,10,85,1.325,56.77481177275838
Pietra,missing,Female,9,1949-04-29,Engineer III,not known,High Net Worth,N,No,13,387 Dixon Alley,2024,NSW,Australia,10,85,1.325,68.67077344284736
Marysa,missing,Female,8,1999-02-15,Assistant Media Planner,Entertainment,Affluent Customer,N,No,5,411 Twin Pines Way,2026,NSW,Australia,9,85,1.325,18.872005475701574
Kahaleel,missing,Male,5,1942-11-01,GIS Technical Architect,not known,High Net Worth,N,No,13,12 Arapahoe Park,2035,NSW,Australia,12,88,1.31484375,75.16221765913758
Ossie,missing,Male,49,1950-02-10,Physical Therapy Assistant,Manufacturing,Mass Customer,N,Yes,14,4915 Debra Center,2479,NSW,Australia,9,89,1.3125,67.88501026694045
Sid,missing,Male,24,1971-08-18,Structural Engineer,Health,Affluent Customer,N,No,16,76 Sunnyside Avenue,4670,QLD,Australia,2,89,1.3125,46.36824093086927
Ludovico,missing,Male,93,1992-04-19,Environmental Specialist,not known,Affluent Customer,N,No,15,1 Talisman Avenue,2125,NSW,Australia,10,89,1.3125,25.697467488021903
Patricia,missing,Female,34,1978-02-19,Director of Sales,Health,Mass Customer,N,No,19,91164 Washington Terrace,2263,NSW,Australia,7,89,1.3125,39.860369609856264
Andromache,missing,Female,84,1977-09-01,no known,Retail,Mass Customer,N,No,11,74 Carpenter Street,2015,NSW,Australia,9,89,1.3125,40.328542094455855
Levy,missing,Male,94,1952-09-21,Teacher,not known,Affluent Customer,N,Yes,14,6776 Anderson Center,4037,QLD,Australia,8,89,1.3125,65.27310061601642
Nobe,missing,Male,25,1978-12-14,no known,not known,Mass Customer,N,No,12,1 Orin Hill,4510,QLD,Australia,5,89,1.3125,39.044490075290895
Jehu,missing,Male,91,1999-10-20,no known,Manufacturing,High Net Worth,N,Yes,8,88 Annamark Avenue,2138,NSW,Australia,12,96,1.3,18.195756331279945
Symon,missing,Male,18,1943-02-08,Human Resources Assistant IV,Property,Mass Customer,N,Yes,15,37439 High Crossing Circle,3350,VIC,Australia,4,96,1.3,74.89117043121149
Karlik,missing,Male,60,1994-10-31,Nurse Practicioner,Retail,Mass Customer,N,No,11,5 Nevada Point,4017,QLD,Australia,6,96,1.3,23.16495550992471
Bengt,missing,Male,26,1972-11-02,Structural Engineer,Manufacturing,High Net Worth,N,No,11,67 Grayhawk Circle,2232,NSW,Australia,10,99,1.296875,45.158110882956876
Evangelin,missing,Female,30,2000-05-09,Structural Analysis Engineer,Manufacturing,High Net Worth,N,Yes,14,0 Meadow Ridge Street,3173,VIC,Australia,8,99,1.296875,17.642710472279262
Hanny,missing,Female,84,1991-01-22,Associate Professor,Retail,Mass Customer,N,No,3,5 Quincy Street,4118,QLD,Australia,4,99,1.296875,26.937713894592743
Gina,missing,Female,56,1994-02-11,Dental Hygienist,Health,Mass Customer,N,No,12,13025 Johnson Plaza,4670,QLD,Australia,2,102,1.28828125,23.88227241615332
Reynold,missing,Male,19,1940-01-18,Marketing Manager,Manufacturing,Mass Customer,N,No,9,966 Sunnyside Center,2390,NSW,Australia,2,102,1.28828125,77.94934976043805
Flossy,missing,Female,64,1980-10-20,Staff Accountant IV,Financial Services,Affluent Customer,N,No,8,802 Mallory Park,3919,VIC,Australia,2,104,1.2875,37.1937029431896
Cristen,missing,Female,59,1961-10-20,VP Sales,Financial Services,High Net Worth,N,Yes,15,93 Judy Drive,3047,VIC,Australia,6,104,1.2875,56.19438740588638
Griffith,missing,Male,50,1946-10-23,Accountant III,IT,Mass Customer,N,Yes,16,94 Manitowish Court,4116,QLD,Australia,3,104,1.2875,71.18685831622176
Jamie,missing,Female,21,1963-06-16,Recruiting Manager,Argiculture,Mass Customer,N,No,18,5013 Erie Crossing,2230,NSW,Australia,9,104,1.2875,54.54072553045859
Lyon,missing,Male,14,1972-04-23,Sales Representative,Retail,High Net Worth,N,No,19,540 Sachs Road,3153,VIC,Australia,8,104,1.2875,45.686516084873375
Aridatha,missing,Female,95,1961-10-22,Human Resources Assistant II,not known,Mass Customer,N,No,5,422 Forster Circle,2340,NSW,Australia,1,104,1.2875,56.18891170431211
Michal,missing,Female,1,1969-11-09,no known,Manufacturing,Mass Customer,N,Yes,16,4275 Bluestem Pass,4000,QLD,Australia,8,104,1.2875,48.139630390143736
Franciska,missing,Female,95,1968-11-15,Food Chemist,Health,Mass Customer,N,Yes,7,6 Anderson Junction,3802,VIC,Australia,7,111,1.28125,49.12251882272416
Jordan,missing,Male,37,1939-12-09,Staff Scientist,Financial Services,Mass Customer,N,Yes,11,276 Westend Road,4207,QLD,Australia,5,111,1.28125,78.05886379192334
David,missing,Male,72,1961-11-05,Structural Engineer,not known,High Net Worth,N,No,14,69 Garrison Point,2223,NSW,Australia,11,111,1.28125,56.15058179329227
Meriel,missing,Female,0,1995-08-13,VP Sales,IT,Mass Customer,N,No,5,65 Milwaukee Hill,3280,VIC,Australia,2,114,1.275,22.38193018480493
Dolley,missing,Female,53,1977-11-08,Geologist IV,Manufacturing,Affluent Customer,N,No,18,4252 Dovetail Pass,4129,QLD,Australia,6,114,1.275,40.14236824093087
Frederik,missing,Male,45,1997-11-13,no known,Health,Mass Customer,N,No,5,56 Riverside Street,2546,NSW,Australia,5,114,1.275,20.128678986995208
Rollo,missing,Male,64,1946-07-09,Information Systems Manager,Telecommunications,Affluent Customer,N,Yes,17,7 Cascade Park,2089,NSW,Australia,9,114,1.275,71.47707049965777
Jerrine,missing,Female,21,1978-01-11,Junior Executive,Financial Services,High Net Worth,N,Yes,6,29307 Russell Avenue,3094,VIC,Australia,9,114,1.275,39.96714579055441
Roddy,missing,Male,37,1987-10-08,Nurse Practicioner,Retail,Mass Customer,N,Yes,4,3 Mcguire Crossing,4510,QLD,Australia,7,114,1.275,30.22861054072553
Viki,missing,Female,2,1952-12-14,Automation Specialist II,Property,Mass Customer,N,Yes,7,6 Golf View Alley,2287,NSW,Australia,4,120,1.2625,65.04312114989733
Ashby,missing,Male,71,1981-10-29,Software Consultant,Retail,Affluent Customer,N,No,4,83716 Russell Lane,2145,NSW,Australia,8,120,1.2625,36.16974674880219
Alexander,missing,Male,57,1997-05-28,Desktop Support Technician,not known,Mass Customer,N,No,9,265 Stephen Trail,2209,NSW,Australia,10,120,1.2625,20.591375770020534
Teddy,missing,Female,86,1969-07-20,Design Engineer,not known,High Net Worth,N,No,6,2 Charing Cross Trail,2759,NSW,Australia,8,120,1.2625,48.446269678302535
Peria,missing,Female,3,1975-03-13,Financial Analyst,Financial Services,Mass Customer,N,No,4,8350 Moulton Terrace,4500,QLD,Australia,4,120,1.2625,42.80082135523614
Ludvig,missing,Male,44,1941-02-22,Media Manager III,not known,High Net Worth,N,Yes,15,578 Waywood Circle,4306,QLD,Australia,5,125,1.26171875,76.85147159479808
Elsworth,missing,Male,71,1956-02-08,no known,Health,Mass Customer,N,Yes,6,9722 Northport Way,3500,VIC,Australia,3,125,1.26171875,61.89185489390828
Rebeca,missing,Female,66,1953-02-27,Social Worker,Health,Affluent Customer,N,No,21,7026 Katie Lane,3818,VIC,Australia,1,127,1.25,64.83778234086242
Ricki,missing,Male,13,1975-03-10,Civil Engineer,Manufacturing,Mass Customer,N,Yes,9,8 Eggendart Pass,2835,NSW,Australia,1,127,1.25,42.809034907597535
Georgetta,missing,Female,42,1940-02-02,Editor,Retail,Mass Customer,N,No,12,1 Bluejay Place,4405,QLD,Australia,1,127,1.25,77.90828199863107
Bambi,missing,Female,51,1990-07-12,Design Engineer,Retail,Affluent Customer,N,Yes,5,28970 Monument Lane,2560,NSW,Australia,7,127,1.25,27.468856947296374
Aurie,missing,Female,78,1962-07-28,Geological Engineer,Manufacturing,Affluent Customer,N,Yes,5,235 Mendota Court,2650,NSW,Australia,2,127,1.25,55.42505133470226
Farris,missing,Male,38,1965-07-03,Payment Adjustment Coordinator,not known,Mass Customer,N,Yes,13,49309 Redwing Lane,3240,VIC,Australia,7,132,1.2484375,52.492813141683776
Sharline,missing,Female,11,1960-03-18,no known,not known,Mass Customer,N,Yes,15,367 Bay Point,4011,QLD,Australia,4,133,1.2375,57.78507871321013
Nowell,missing,Male,29,1985-07-23,no known,Manufacturing,Mass Customer,N,No,9,932 Glendale Avenue,2173,NSW,Australia,9,133,1.2375,32.43805612594114
Lacy,missing,Female,27,1978-02-05,Graphic Designer,Manufacturing,Affluent Customer,N,Yes,14,492 Waywood Lane,2750,NSW,Australia,8,133,1.2375,39.898699520876114
Padraig,missing,Male,89,1970-11-08,Staff Accountant II,not known,Mass Customer,N,No,19,12683 Mifflin Point,2114,NSW,Australia,7,133,1.2375,47.14305270362765
Malorie,missing,Female,90,1990-05-29,Graphic Designer,Manufacturing,Affluent Customer,N,No,4,6160 Weeping Birch Hill,4509,QLD,Australia,5,133,1.2375,27.589322381930184
Shepperd,missing,Male,28,1967-09-27,Social Worker,Health,Mass Customer,N,Yes,16,7 Oakridge Lane,2284,NSW,Australia,4,133,1.2375,50.25872689938399
Daryl,missing,Female,12,1979-06-18,Community Outreach Specialist,Financial Services,Mass Customer,N,Yes,12,0 Dexter Parkway,2380,NSW,Australia,3,133,1.2375,38.535249828884325
Norina,missing,Female,60,1980-02-11,Programmer Analyst II,Property,Mass Customer,N,Yes,3,75813 Lawn Lane,3081,VIC,Australia,8,133,1.2375,37.883641341546884
My,missing,Male,92,1966-07-16,Desktop Support Technician,Manufacturing,Affluent Customer,N,Yes,16,74613 Northport Park,3765,VIC,Australia,9,133,1.2375,51.45790554414784
Isak,missing,Male,14,2001-03-08,Pharmacist,Health,Affluent Customer,N,Yes,15,68 Karstens Pass,2176,NSW,Australia,9,142,1.23515625,16.813141683778234
Grannie,missing,Male,28,1949-03-06,VP Marketing,Retail,Mass Customer,N,Yes,20,87254 Hermina Pass,4217,QLD,Australia,8,142,1.23515625,68.8186173853525
Welby,missing,Male,6,1975-12-27,Senior Cost Accountant,Financial Services,High Net Worth,N,Yes,17,801 Atwood Alley,2138,NSW,Australia,9,144,1.234375,42.00958247775496
Glenn,missing,Female,4,1981-08-08,Senior Editor,Manufacturing,Mass Customer,N,No,6,2 Morrow Alley,4207,QLD,Australia,1,144,1.234375,36.394250513347025
Nadiya,missing,Female,40,1950-11-05,Sales Associate,Financial Services,Mass Customer,N,No,15,92934 Mallory Trail,2164,NSW,Australia,9,146,1.225,67.15126625598904
Tyne,missing,Female,82,1965-07-15,Developer II,Manufacturing,Mass Customer,N,No,17,90820 Thackeray Street,2218,NSW,Australia,8,146,1.225,52.459958932238195
Christie,missing,Male,38,1969-10-02,VP Marketing,Retail,Mass Customer,N,No,16,48 Ludington Plaza,2153,NSW,Australia,10,146,1.225,48.24366872005476
Agnella,missing,Female,58,1969-05-21,Teacher,Health,High Net Worth,N,No,19,49185 Derek Circle,3977,VIC,Australia,6,146,1.225,48.610540725530456
Bernardine,missing,Female,39,1971-03-31,no known,Property,Mass Customer,N,No,17,0721 Meadow Ridge Pass,2540,NSW,Australia,8,146,1.225,46.75154004106776
Daisy,missing,Female,60,1967-12-18,Staff Accountant I,Health,Affluent Customer,N,Yes,4,115 Westridge Road,4570,QLD,Australia,3,146,1.225,50.03422313483915
Denys,missing,Female,30,1961-12-26,Environmental Tech,Manufacturing,Affluent Customer,N,Yes,14,7 Myrtle Lane,2324,NSW,Australia,8,152,1.221875,56.01095140314853
Archibald,missing,Male,61,1969-02-10,VP Sales,Financial Services,Mass Customer,N,Yes,18,7795 Memorial Drive,2016,NSW,Australia,11,153,1.21875,48.884325804243666
Feodor,missing,Male,54,1961-08-14,Account Coordinator,Health,Mass Customer,N,No,11,24695 Boyd Road,3201,VIC,Australia,5,154,1.203125,56.37782340862423
Skippie,missing,Male,6,1956-09-04,Compensation Analyst,Financial Services,Mass Customer,N,No,9,95306 John Wall Avenue,4350,QLD,Australia,5,155,1.2,61.319644079397676
Bill,missing,Female,74,1963-04-24,Human Resources Assistant II,Property,Mass Customer,N,Yes,19,6704 Pine View Lane,2170,NSW,Australia,9,155,1.2,54.68583162217659
Tessa,missing,Female,89,1976-10-24,Health Coach II,Financial Services,Mass Customer,N,No,21,98158 Alpine Point,4212,QLD,Australia,9,157,1.1953125,41.18275154004107
Roseanne,missing,Female,16,1957-05-25,Programmer Analyst III,Health,Mass Customer,N,No,7,33652 Lyons Alley,2763,NSW,Australia,9,158,1.1875,60.59958932238193
Tedra,missing,Female,4,1978-01-15,Senior Quality Engineer,not known,Mass Customer,N,Yes,6,8 Debs Road,3934,VIC,Australia,9,158,1.1875,39.95619438740589
Roberto,missing,Male,27,1951-06-11,Environmental Tech,not known,High Net Worth,N,No,10,101 Starling Pass,2564,NSW,Australia,9,158,1.1875,66.55441478439425
Nichole,missing,Male,37,1986-08-07,Geologist III,Property,Affluent Customer,N,No,4,35151 Bunker Hill Crossing,2068,NSW,Australia,12,158,1.1875,31.397672826830938
Amil,missing,Female,23,1995-08-04,Health Coach II,Health,Mass Customer,N,Yes,10,2093 Amoth Pass,3109,VIC,Australia,11,158,1.1875,22.406570841889117
Shawna,missing,Female,60,1969-08-27,Assistant Professor,Manufacturing,Affluent Customer,N,Yes,9,57343 Eagan Avenue,2326,NSW,Australia,2,163,1.18203125,48.342231348391515
